Year,Violation_Group,Category,Value,Category_Group
2014,EXP/FAIL DISP DL,FHP_Count,1280,Original Violations
2014,EXP/FAIL DISP TAG,FHP_Count,5424,Original Violations
2014,NO PROOF OF INSUR.,FHP_Count,6546,Original Violations
2014,BICYCLE/PED,FHP_Count,171,Original Violations
2014,OTHER,FHP_Count,1382,Original Violations
2015,DUI,FHP_Count,241,Original Violations
2015,RECKLESS DR,FHP_Count,27,Original Violations
2015,LV SCENE ACC,FHP_Count,80,Original Violations
2015,FLEEING,FHP_Count,6,Original Violations
2015,RACING ON HWY,FHP_Count,3,Original Violations
2015,NO/IMP/EXP DL,FHP_Count,1160,Original Violations
2015,DR/DL/SUS/RV,FHP_Count,1639,Original Violations
2015,VIO/DL/REST,FHP_Count,24,Original Violations
2015,UNL/USE/DL,FHP_Count,11,Original Violations
2015,NO/IMP/EXP TAG,FHP_Count,356,Original Violations
2015,OTHER CRIME,FHP_Count,136,Original Violations
2015,SPD POST ZONE,FHP_Count,29057,Original Violations
2015,SPD /TO F/COND,FHP_Count,198,Original Violations
2015,CARELESS DR,FHP_Count,2797,Original Violations
2015,UNK DR/DL/SUS/RV,FHP_Count,1335,Original Violations
2015,FL/YLD/R-O-W,FHP_Count,1396,Original Violations
2015,R/STOP SIGN,FHP_Count,25,Original Violations
2015,RED LIGHT CAMERA,FHP_Count,12,Original Violations
2015,RAN RED LIGHT,FHP_Count,455,Original Violations
2015,TR/CNTL/DEV,FHP_Count,501,Original Violations
2015,IMP TURN,FHP_Count,121,Original Violations
2015,F/T/S SCHOOL BUS,FHP_Count,10,Original Violations
2015,IMP PASSING,FHP_Count,262,Original Violations
2015,FOLLOW/CLOSE,FHP_Count,348,Original Violations
2015,W/SIDE OF RD,FHP_Count,87,Original Violations
2015,IMP LANE CHG,FHP_Count,969,Original Violations
2015,IMP BACKING,FHP_Count,64,Original Violations
2015,DR/W-O/LIGHT,FHP_Count,48,Original Violations
2015,FAIL/DIM/LIGHTS,FHP_Count,8,Original Violations
2015,CHILD RESTRAINT,FHP_Count,128,Original Violations
2015,TOLL VIOLATIONS,FHP_Count,8,Original Violations
2015,OTHER MOV,FHP_Count,9442,Original Violations
2015,LOAD/LEAK/DP,FHP_Count,65,Original Violations
2015,IMP PARKING,FHP_Count,35,Original Violations
2015,NO HELMET,FHP_Count,7,Original Violations
2015,DEF/UNSAFE EQUIP,FHP_Count,1071,Original Violations
2015,SEAT BELT VIOL,FHP_Count,4108,Original Violations
2015,EXP/FAIL DISP DL,FHP_Count,1504,Original Violations
2015,EXP/FAIL DISP TAG,FHP_Count,5404,Original Violations
2015,NO PROOF OF INSUR.,FHP_Count,5817,Original Violations
2015,BICYCLE/PED,FHP_Count,89,Original Violations
2015,OTHER,FHP_Count,1366,Original Violations
2016,DUI,FHP_Count,256,Original Violations
2016,RECKLESS DR,FHP_Count,24,Original Violations
2016,LV SCENE ACC,FHP_Count,87,Original Violations
2016,FLEEING,FHP_Count,6,Original Violations
2016,RACING ON HWY,FHP_Count,4,Original Violations
2016,NO/IMP/EXP DL,FHP_Count,1094,Original Violations
2016,DR/DL/SUS/RV,FHP_Count,1434,Original Violations
2016,VIO/DL/REST,FHP_Count,21,Original Violations
2016,UNL/USE/DL,FHP_Count,10,Original Violations
2016,NO/IMP/EXP TAG,FHP_Count,346,Original Violations
2016,OTHER CRIME,FHP_Count,206,Original Violations
2016,SPD POST ZONE,FHP_Count,22415,Original Violations
2016,SPD /TO F/COND,FHP_Count,146,Original Violations
2016,CARELESS DR,FHP_Count,2765,Original Violations
2016,UNK DR/DL/SUS/RV,FHP_Count,1104,Original Violations
2016,FL/YLD/R-O-W,FHP_Count,2266,Original Violations
2016,R/STOP SIGN,FHP_Count,45,Original Violations
2016,RED LIGHT CAMERA,FHP_Count,5,Original Violations
2016,RAN RED LIGHT,FHP_Count,193,Original Violations
2016,TR/CNTL/DEV,FHP_Count,503,Original Violations
2016,IMP TURN,FHP_Count,188,Original Violations
2016,F/T/S SCHOOL BUS,FHP_Count,9,Original Violations
2016,IMP PASSING,FHP_Count,309,Original Violations
2016,FOLLOW/CLOSE,FHP_Count,446,Original Violations
2016,W/SIDE OF RD,FHP_Count,99,Original Violations
2016,IMP LANE CHG,FHP_Count,1008,Original Violations
2016,IMP BACKING,FHP_Count,53,Original Violations
2016,TEXT/DRIVING(M),FHP_Count,2,Original Violations
2016,DR/W-O/LIGHT,FHP_Count,41,Original Violations
2016,FAIL/DIM/LIGHTS,FHP_Count,15,Original Violations
2016,CHILD RESTRAINT,FHP_Count,108,Original Violations
2016,TOLL VIOLATIONS,FHP_Count,12,Original Violations
2016,OTHER MOV,FHP_Count,7122,Original Violations
2016,LOAD/LEAK/DP,FHP_Count,64,Original Violations
2016,IMP PARKING,FHP_Count,24,Original Violations
2016,NO HELMET,FHP_Count,5,Original Violations
2016,DEF/UNSAFE EQUIP,FHP_Count,941,Original Violations
2016,SEAT BELT VIOL,FHP_Count,4426,Original Violations
2016,EXP/FAIL DISP DL,FHP_Count,1249,Original Violations
2016,EXP/FAIL DISP TAG,FHP_Count,4355,Original Violations
2016,NO PROOF OF INSUR.,FHP_Count,4208,Original Violations
2016,TEXTING/DRIVING,FHP_Count,84,Original Violations
2016,BICYCLE/PED,FHP_Count,179,Original Violations
2016,OTHER,FHP_Count,1354,Original Violations
2017,DUI,FHP_Count,407,Original Violations
2017,RECKLESS DR,FHP_Count,33,Original Violations
2017,LV SCENE ACC,FHP_Count,81,Original Violations
2017,FLEEING,FHP_Count,17,Original Violations
2017,RACING ON HWY,FHP_Count,0,Original Violations
2017,NO/IMP/EXP DL,FHP_Count,980,Original Violations
2017,DR/DL/SUS/RV,FHP_Count,1165,Original Violations
2017,VIO/DL/REST,FHP_Count,3,Original Violations
2017,UNL/USE/DL,FHP_Count,2,Original Violations
2017,NO/IMP/EXP TAG,FHP_Count,371,Original Violations
2017,OTHER CRIME,FHP_Count,294,Original Violations
2017,SPD POST ZONE,FHP_Count,15540,Original Violations
2017,SPD /TO F/COND,FHP_Count,167,Original Violations
2017,CARELESS DR,FHP_Count,2925,Original Violations
2017,UNK DR/DL/SUS/RV,FHP_Count,1133,Original Violations
2017,FL/YLD/R-O-W,FHP_Count,2260,Original Violations
2017,R/STOP SIGN,FHP_Count,20,Original Violations
2017,RED LIGHT CAMERA,FHP_Count,1,Original Violations
2017,RAN RED LIGHT,FHP_Count,250,Original Violations
2017,TR/CNTL/DEV,FHP_Count,369,Original Violations
2017,IMP TURN,FHP_Count,134,Original Violations
2017,F/T/S SCHOOL BUS,FHP_Count,8,Original Violations
2017,IMP PASSING,FHP_Count,259,Original Violations
2017,FOLLOW/CLOSE,FHP_Count,602,Original Violations
2017,W/SIDE OF RD,FHP_Count,52,Original Violations
2017,IMP LANE CHG,FHP_Count,1153,Original Violations
2017,IMP BACKING,FHP_Count,32,Original Violations
2017,DR/W-O/LIGHT,FHP_Count,62,Original Violations
2017,FAIL/DIM/LIGHTS,FHP_Count,9,Original Violations
2017,CHILD RESTRAINT,FHP_Count,95,Original Violations
2017,OTHER MOV,FHP_Count,8155,Original Violations
2017,LOAD/LEAK/DP,FHP_Count,55,Original Violations
2017,IMP PARKING,FHP_Count,43,Original Violations
2017,NO HELMET,FHP_Count,11,Original Violations
2017,DEF/UNSAFE EQUIP,FHP_Count,865,Original Violations
2017,SEAT BELT VIOL,FHP_Count,4213,Original Violations
2017,EXP/FAIL DISP DL,FHP_Count,1149,Original Violations
2017,EXP/FAIL DISP TAG,FHP_Count,3615,Original Violations
2017,NO PROOF OF INSUR.,FHP_Count,3313,Original Violations
2017,TEXTING/DRIVING,FHP_Count,81,Original Violations
2017,BICYCLE/PED,FHP_Count,317,Original Violations
2017,OTHER,FHP_Count,951,Original Violations
2018,DUI,FHP_Count,277,Original Violations
2018,RECKLESS DR,FHP_Count,40,Original Violations
2018,LV SCENE ACC,FHP_Count,92,Original Violations
2018,FLEEING,FHP_Count,13,Original Violations
2018,RACING ON HWY,FHP_Count,7,Original Violations
2018,NO/IMP/EXP DL,FHP_Count,857,Original Violations
2018,DR/DL/SUS/RV,FHP_Count,913,Original Violations
2018,VIO/DL/REST,FHP_Count,3,Original Violations
2018,UNL/USE/DL,FHP_Count,1,Original Violations
2018,NO/IMP/EXP TAG,FHP_Count,434,Original Violations
2018,OTHER CRIME,FHP_Count,274,Original Violations
2018,SPD POST ZONE,FHP_Count,10884,Original Violations
2018,SPD /TO F/COND,FHP_Count,141,Original Violations
2018,CARELESS DR,FHP_Count,2907,Original Violations
2018,UNK DR/DL/SUS/RV,FHP_Count,976,Original Violations
2018,FL/YLD/R-O-W,FHP_Count,1208,Original Violations
2018,R/STOP SIGN,FHP_Count,14,Original Violations
2018,RED LIGHT CAMERA,FHP_Count,5,Original Violations
2018,RAN RED LIGHT,FHP_Count,195,Original Violations
2018,TR/CNTL/DEV,FHP_Count,650,Original Violations
2018,IMP TURN,FHP_Count,105,Original Violations
2018,F/T/S SCHOOL BUS,FHP_Count,8,Original Violations
2018,IMP PASSING,FHP_Count,184,Original Violations
2018,FOLLOW/CLOSE,FHP_Count,677,Original Violations
2018,W/SIDE OF RD,FHP_Count,58,Original Violations
2018,IMP LANE CHG,FHP_Count,1202,Original Violations
2018,IMP BACKING,FHP_Count,45,Original Violations
2018,DR/W-O/LIGHT,FHP_Count,51,Original Violations
2018,FAIL/DIM/LIGHTS,FHP_Count,1,Original Violations
2018,CHILD RESTRAINT,FHP_Count,96,Original Violations
2018,TOLL VIOLATIONS,FHP_Count,4,Original Violations
2018,OTHER MOV,FHP_Count,6040,Original Violations
2018,LOAD/LEAK/DP,FHP_Count,51,Original Violations
2018,IMP PARKING,FHP_Count,29,Original Violations
2018,NO HELMET,FHP_Count,7,Original Violations
2018,DEF/UNSAFE EQUIP,FHP_Count,634,Original Violations
2018,SEAT BELT VIOL,FHP_Count,2429,Original Violations
2018,EXP/FAIL DISP DL,FHP_Count,933,Original Violations
2018,EXP/FAIL DISP TAG,FHP_Count,3559,Original Violations
2018,NO PROOF OF INSUR.,FHP_Count,2576,Original Violations
2018,TEXTING/DRIVING,FHP_Count,48,Original Violations
2018,BICYCLE/PED,FHP_Count,77,Original Violations
2018,OTHER,FHP_Count,739,Original Violations
2019,DUI,FHP_Count,318,Original Violations
2019,RECKLESS DR,FHP_Count,53,Original Violations
2019,LV SCENE ACC,FHP_Count,112,Original Violations
2019,FLEEING,FHP_Count,18,Original Violations
2019,RACING ON HWY,FHP_Count,9,Original Violations
2019,NO/IMP/EXP DL,FHP_Count,919,Original Violations
2019,DR/DL/SUS/RV,FHP_Count,891,Original Violations
2019,VIO/DL/REST,FHP_Count,1,Original Violations
2019,UNL/USE/DL,FHP_Count,1,Original Violations
2019,NO/IMP/EXP TAG,FHP_Count,378,Original Violations
2019,OTHER CRIME,FHP_Count,226,Original Violations
2019,SPD POST ZONE,FHP_Count,13429,Original Violations
2019,SPD /TO F/COND,FHP_Count,166,Original Violations
2019,CARELESS DR,FHP_Count,3401,Original Violations
2019,UNK DR/DL/SUS/RV,FHP_Count,1139,Original Violations
2019,FL/YLD/R-O-W,FHP_Count,1022,Original Violations
2019,R/STOP SIGN,FHP_Count,20,Original Violations
2019,RED LIGHT CAMERA,FHP_Count,2,Original Violations
2019,RAN RED LIGHT,FHP_Count,130,Original Violations
2019,TR/CNTL/DEV,FHP_Count,577,Original Violations
2019,IMP TURN,FHP_Count,74,Original Violations
2019,F/T/S SCHOOL BUS,FHP_Count,10,Original Violations
2019,IMP PASSING,FHP_Count,237,Original Violations
2019,FOLLOW/CLOSE,FHP_Count,435,Original Violations
2019,W/SIDE OF RD,FHP_Count,57,Original Violations
2019,IMP LANE CHG,FHP_Count,1028,Original Violations
2019,IMP BACKING,FHP_Count,23,Original Violations
2019,DR/W-O/LIGHT,FHP_Count,31,Original Violations
2019,FAIL/DIM/LIGHTS,FHP_Count,3,Original Violations
2019,CHILD RESTRAINT,FHP_Count,59,Original Violations
2019,TOLL VIOLATIONS,FHP_Count,15,Original Violations
2019,OTHER MOV,FHP_Count,6486,Original Violations
2019,LOAD/LEAK/DP,FHP_Count,57,Original Violations
2019,IMP PARKING,FHP_Count,76,Original Violations
2019,NO HELMET,FHP_Count,2,Original Violations
2019,DEF/UNSAFE EQUIP,FHP_Count,664,Original Violations
2019,SEAT BELT VIOL,FHP_Count,1660,Original Violations
2019,EXP/FAIL DISP DL,FHP_Count,1089,Original Violations
2019,EXP/FAIL DISP TAG,FHP_Count,3990,Original Violations
2019,NO PROOF OF INSUR.,FHP_Count,3105,Original Violations
2019,TEXTING/DRIVING,FHP_Count,31,Original Violations
2019,BICYCLE/PED,FHP_Count,157,Original Violations
2019,OTHER,FHP_Count,840,Original Violations
2020,DUI,FHP_Count,255,Original Violations
2020,RECKLESS DR,FHP_Count,47,Original Violations
2020,LV SCENE ACC,FHP_Count,103,Original Violations
2020,FLEEING,FHP_Count,27,Original Violations
2020,RACING ON HWY,FHP_Count,8,Original Violations
2020,NO/IMP/EXP DL,FHP_Count,1052,Original Violations
2020,DR/DL/SUS/RV,FHP_Count,906,Original Violations
2020,VIO/DL/REST,FHP_Count,1,Original Violations
2020,UNL/USE/DL,FHP_Count,8,Original Violations
2020,NO/IMP/EXP TAG,FHP_Count,259,Original Violations
2020,OTHER CRIME,FHP_Count,175,Original Violations
2020,SPD POST ZONE,FHP_Count,14727,Original Violations
2020,SPD /TO F/COND,FHP_Count,165,Original Violations
2020,CARELESS DR,FHP_Count,2457,Original Violations
2020,UNK DR/DL/SUS/RV,FHP_Count,1198,Original Violations
2020,FL/YLD/R-O-W,FHP_Count,1252,Original Violations
2020,R/STOP SIGN,FHP_Count,38,Original Violations
2020,RED LIGHT CAMERA,FHP_Count,6,Original Violations
2020,RAN RED LIGHT,FHP_Count,117,Original Violations
2020,TR/CNTL/DEV,FHP_Count,363,Original Violations
2020,IMP TURN,FHP_Count,45,Original Violations
2020,F/T/S SCHOOL BUS,FHP_Count,3,Original Violations
2020,IMP PASSING,FHP_Count,301,Original Violations
2020,FOLLOW/CLOSE,FHP_Count,213,Original Violations
2020,W/SIDE OF RD,FHP_Count,65,Original Violations
2020,IMP LANE CHG,FHP_Count,791,Original Violations
2020,IMP BACKING,FHP_Count,29,Original Violations
2020,TEXT/DRIVING(M),FHP_Count,42,Original Violations
2020,DR/W-O/LIGHT,FHP_Count,72,Original Violations
2020,FAIL/DIM/LIGHTS,FHP_Count,5,Original Violations
2020,CHILD RESTRAINT,FHP_Count,63,Original Violations
2020,TOLL VIOLATIONS,FHP_Count,7,Original Violations
2020,OTHER MOV,FHP_Count,5462,Original Violations
2020,LOAD/LEAK/DP,FHP_Count,44,Original Violations
2020,IMP PARKING,FHP_Count,87,Original Violations
2020,NO HELMET,FHP_Count,1,Original Violations
2020,DEF/UNSAFE EQUIP,FHP_Count,642,Original Violations
2020,SEAT BELT VIOL,FHP_Count,1957,Original Violations
2020,EXP/FAIL DISP DL,FHP_Count,1100,Original Violations
2020,EXP/FAIL DISP TAG,FHP_Count,3011,Original Violations
2020,NO PROOF OF INSUR.,FHP_Count,2141,Original Violations
2020,TEXTING/DRIVING,FHP_Count,132,Original Violations
2020,BICYCLE/PED,FHP_Count,29,Original Violations
2020,OTHER,FHP_Count,877,Original Violations
2021,DUI,FHP_Count,329,Original Violations
2021,RECKLESS DR,FHP_Count,31,Original Violations
2021,LV SCENE ACC,FHP_Count,121,Original Violations
2021,FLEEING,FHP_Count,22,Original Violations
2021,RACING ON HWY,FHP_Count,5,Original Violations
2021,NO/IMP/EXP DL,FHP_Count,1345,Original Violations
2021,DR/DL/SUS/RV,FHP_Count,981,Original Violations
2021,VIO/DL/REST,FHP_Count,1,Original Violations
2021,UNL/USE/DL,FHP_Count,6,Original Violations
2021,NO/IMP/EXP TAG,FHP_Count,324,Original Violations
2021,OTHER CRIME,FHP_Count,151,Original Violations
2021,SPD POST ZONE,FHP_Count,17079,Original Violations
2021,SPD /TO F/COND,FHP_Count,107,Original Violations
2021,CARELESS DR,FHP_Count,3110,Original Violations
2021,UNK DR/DL/SUS/RV,FHP_Count,1159,Original Violations
2021,FL/YLD/R-O-W,FHP_Count,1280,Original Violations
2021,R/STOP SIGN,FHP_Count,45,Original Violations
2021,RED LIGHT CAMERA,FHP_Count,3,Original Violations
2021,RAN RED LIGHT,FHP_Count,143,Original Violations
2021,TR/CNTL/DEV,FHP_Count,1118,Original Violations
2021,IMP TURN,FHP_Count,44,Original Violations
2021,F/T/S SCHOOL BUS,FHP_Count,7,Original Violations
2021,IMP PASSING,FHP_Count,339,Original Violations
2021,FOLLOW/CLOSE,FHP_Count,298,Original Violations
2021,W/SIDE OF RD,FHP_Count,124,Original Violations
2021,IMP LANE CHG,FHP_Count,951,Original Violations
2021,IMP BACKING,FHP_Count,23,Original Violations
2021,TEXT/DRIVING(M),FHP_Count,4,Original Violations
2021,DR/W-O/LIGHT,FHP_Count,59,Original Violations
2021,FAIL/DIM/LIGHTS,FHP_Count,2,Original Violations
2021,CHILD RESTRAINT,FHP_Count,68,Original Violations
2021,TOLL VIOLATIONS,FHP_Count,9,Original Violations
2021,OTHER MOV,FHP_Count,5835,Original Violations
2021,LOAD/LEAK/DP,FHP_Count,53,Original Violations
2021,IMP PARKING,FHP_Count,73,Original Violations
2021,NO HELMET,FHP_Count,4,Original Violations
2021,DEF/UNSAFE EQUIP,FHP_Count,629,Original Violations
2021,SEAT BELT VIOL,FHP_Count,2337,Original Violations
2021,EXP/FAIL DISP DL,FHP_Count,1152,Original Violations
2021,EXP/FAIL DISP TAG,FHP_Count,3723,Original Violations
2021,NO PROOF OF INSUR.,FHP_Count,1996,Original Violations
2021,TEXTING/DRIVING,FHP_Count,129,Original Violations
2021,BICYCLE/PED,FHP_Count,35,Original Violations
2021,OTHER,FHP_Count,1195,Original Violations
2022,DUI,FHP_Count,247,Original Violations
2022,RECKLESS DR,FHP_Count,37,Original Violations
2022,LV SCENE ACC,FHP_Count,81,Original Violations
2022,FLEEING,FHP_Count,18,Original Violations
2022,RACING ON HWY,FHP_Count,4,Original Violations
2022,NO/IMP/EXP DL,FHP_Count,1318,Original Violations
2022,DR/DL/SUS/RV,FHP_Count,643,Original Violations
2022,VIO/DL/REST,FHP_Count,2,Original Violations
